nTraces,pv_mean,pv_std,load_mean,load_std,sol,time,memory
1,269.89166666666665,278.36969672641374,326.9947916666667,172.8776809684811,420.85,5.67,82.77
1,273.2666666666667,280.00975640244314,324.1770833333333,168.75599772006046,458.49,5.8,82.99
1,273.9302083333334,282.16652372010736,327.715625,174.36068598844,469.0,5.63,82.79
1,273.05833333333334,282.38002307273007,325.08958333333334,171.06298089639301,407.98,5.71,82.82
1,272.909375,280.55669698763097,328.1791666666666,173.4850551420464,487.69,5.71,82.87
1,283.05625000000003,283.6477785081423,335.51666666666665,171.46846871623043,472.54,5.71,82.83
1,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,432.67,5.56,82.83
1,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,369.19,5.75,82.85
1,262.66770833333334,270.722787757911,310.025,159.83073859555302,379.77,5.79,82.9
1,263.81874999999997,271.12750010853597,311.83958333333334,162.92226832601202,350.52,5.68,82.89
1,261.87395833333335,270.0966783875697,317.28229166666665,167.74264948798282,387.34,5.73,82.9
1,265.1541666666667,271.69111671032886,314.55312499999997,163.7424807135716,399.17,5.78,82.81
1,265.79583333333335,273.7816393118895,317.97708333333327,169.1823187417243,409.49,5.64,82.82
1,264.95,273.9898732161464,315.43541666666664,165.98518318610968,338.83,5.72,82.82
1,264.80625000000003,272.2219012177458,318.43333333333334,168.32927841650786,435.35,5.91,82.78
1,274.6489583333334,275.21932163079487,325.55312499999997,166.37352050001138,399.45,5.87,82.77
1,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,369.19,5.76,82.92
1,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,407.77,5.74,82.83
1,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,389.49,5.67,82.87
1,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,363.56,5.72,82.85
1,267.21666666666664,275.6136523237233,323.75937500000003,171.16505592685297,406.38,5.59,82.79
1,270.56354166666665,277.2356380108624,320.97083333333336,167.08612793797565,434.92,5.71,82.84
1,271.2208333333333,279.37235491539286,324.46770833333335,172.63160468585968,445.29,5.95,82.89
1,270.35520833333334,279.5829721320785,321.87083333333334,169.36745919047993,380.99,5.64,82.87
1,270.20625,277.7747753023496,324.92812499999997,171.76406219914293,466.26,5.62,82.82
1,280.253125,280.8408609104114,332.19687500000003,169.76897381265235,443.94,5.73,82.83
1,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,407.77,5.65,83.04
1,273.975,282.96677734909684,321.0885416666667,172.01928965828202,438.2,5.74,82.85
1,271.2395833333333,279.56286989660555,320.140625,165.05451598015338,401.54,5.95,82.92
1,272.4270833333333,279.98164913048566,322.0229166666667,168.24446095337896,377.81,5.65,82.8
1,270.42083333333335,278.9222434645641,327.63645833333334,173.22208235852398,424.09,5.71,82.8
1,273.809375,280.5631958958196,324.81875,169.09394597413643,463.59,5.72,82.86
1,274.4739583333333,282.72714991842975,328.3625,174.70186762620293,474.17,5.78,82.82
1,273.6010416666667,282.9397022389781,325.73229166666664,171.40241848181412,413.89,5.74,82.93
1,273.45000000000005,281.1094582186804,328.82604166666664,173.82760212156066,492.32,5.69,82.79
1,283.61354166666666,284.2073119587002,336.1822916666667,171.80865264565384,478.63,5.86,82.84
1,273.975,282.96677734909684,321.0885416666667,172.01928965828202,438.2,5.67,82.85
1,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,369.19,5.77,82.96
1,262.66770833333334,270.722787757911,310.025,159.83073859555302,379.77,5.54,82.76
1,263.81874999999997,271.12750010853597,311.83958333333334,162.92226832601202,350.52,5.7,82.8
1,261.87395833333335,270.0966783875697,317.28229166666665,167.74264948798282,387.34,5.63,82.92
1,265.1541666666667,271.69111671032886,314.55312499999997,163.7424807135716,399.17,5.67,82.82
1,265.79583333333335,273.7816393118895,317.97708333333327,169.1823187417243,409.49,5.79,82.8
1,264.95,273.9898732161464,315.43541666666664,165.98518318610968,338.83,5.81,82.88
1,264.80625000000003,272.2219012177458,318.43333333333334,168.32927841650786,435.35,5.68,82.8
1,274.6489583333334,275.21932163079487,325.55312499999997,166.37352050001138,399.45,5.72,82.82
1,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,369.19,5.68,82.91
1,276.68541666666664,285.76609570414934,324.2604166666667,173.71749904608455,467.64,5.72,82.92
1,273.92604166666666,282.3261567779335,323.303125,166.68160732186692,414.87,5.76,82.85
1,275.1166666666666,282.7454644002073,325.20625,169.90460485991593,393.27,5.77,82.85
1,273.096875,281.67775672933016,330.87916666666666,174.9279499993418,442.52,6.65,82.87
1,276.5208333333333,283.3376221182759,328.02812500000005,170.76124578823803,491.17,5.61,82.85
1,277.18854166666665,285.51789818014316,331.5989583333333,176.42320773662857,502.69,5.76,82.8
1,276.30312499999997,285.7348014524442,328.9458333333334,173.09152619632258,445.47,5.64,82.83
1,276.153125,283.889522215188,332.0708333333334,175.54242181774435,517.9,5.77,82.92
1,286.41562500000003,287.01951128804126,339.50416666666666,173.50535949735257,511.75,5.67,82.83
1,276.68541666666664,285.76609570414934,324.2604166666667,173.71749904608455,467.64,5.77,82.83
1,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,407.77,5.72,82.94
1,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,389.49,6.71,82.85
1,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,363.56,5.74,82.86
1,267.21666666666664,275.6136523237233,323.75937500000003,171.16505592685297,406.38,5.74,82.7
1,270.56354166666665,277.2356380108624,320.97083333333336,167.08612793797565,434.92,5.83,82.81
1,271.2208333333333,279.37235491539286,324.46770833333335,172.63160468585968,445.29,5.64,82.87
1,270.35520833333334,279.5829721320785,321.87083333333334,169.36745919047993,380.99,5.74,82.92
1,270.20625,277.7747753023496,324.92812499999997,171.76406219914293,466.26,5.61,82.78
1,280.253125,280.8408609104114,332.19687500000003,169.76897381265235,443.94,5.76,82.89
1,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,407.77,5.58,82.79
2,268.02187499999997,276.81694997293374,314.1177083333333,168.27839903638332,399.93,6.39,83.01
2,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,377.73,6.37,82.91
2,266.50624999999997,273.8953361583049,315.028125,164.58755882959193,385.15,6.34,83.03
2,264.5416666666667,272.8576096407958,320.5239583333333,169.45243601622138,394.51,6.38,82.94
2,267.8604166666667,274.4615218474648,317.7645833333333,165.4162634204783,406.42,6.4,82.91
2,268.51145833333334,276.57818811240327,321.21979166666665,170.9025286407136,470.02,6.41,83.0
2,267.65208333333334,276.78592321020665,318.65208333333334,167.67194282981987,329.53,6.39,82.99
2,267.503125,274.99285576065614,321.6770833333333,170.0430744933757,480.63,6.37,83.1
2,277.45,278.03394576921715,328.87708333333336,168.0694836959595,413.42,6.56,82.91
2,268.02187499999997,276.81694997293374,314.1177083333333,168.27839903638332,399.93,6.39,82.91
2,276.13958333333335,285.20777969723474,323.63125,173.37781439226154,475.58,6.5,82.97
2,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,396.74,6.43,82.9
2,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,415.74,6.35,82.91
2,272.559375,281.13062858531805,330.23645833333336,174.5874668085406,423.07,6.39,82.97
2,275.97291666666666,282.7801614030937,327.38854166666664,170.42978018196604,437.91,6.33,82.97
2,276.6458333333333,284.9630725040917,330.9583333333333,176.08089503754297,532.63,6.45,82.92
2,275.7604166666667,285.176073344451,328.30625,172.74973999769387,422.21,6.37,82.95
2,275.60625,283.3276514672324,331.42291666666665,175.19885099935175,511.26,6.37,82.94
2,285.85729166666664,286.46240218133033,338.840625,173.1644320786153,486.36,6.52,82.94
2,276.13958333333335,285.20777969723474,323.63125,173.37781439226154,475.58,6.45,82.93
2,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,396.35,6.52,83.0
2,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,377.69,6.47,82.87
2,265.96875,273.34187968568625,314.38958333333335,164.2528636731378,384.13,6.37,82.94
2,264.0125,272.30506378034295,319.8822916666667,169.10803314424462,393.34,6.31,83.0
2,267.3177083333333,273.90808258839,317.12291666666664,165.07831441922664,404.45,6.41,82.95
2,267.9677083333333,276.01756265634305,320.5729166666667,170.5613461724541,466.79,6.55,82.95
2,267.109375,276.2262444831701,318.009375,167.33250398914146,327.11,6.58,82.92
2,266.9625,274.4400948787974,321.03020833333335,169.70052673741645,477.37,6.42,82.97
2,276.8927083333333,277.4744122004735,328.2114583333334,167.72929943674103,409.4,6.51,82.96
2,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,396.35,6.44,83.0
2,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,446.5,6.5,82.95
2,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,384.66,6.41,82.93
2,271.88958333333335,279.4281923556743,321.38437500000003,167.9097663975884,398.59,6.6,82.84
2,269.89166666666665,278.36969672641374,326.9947916666667,172.8776809684811,409.28,6.31,82.88
2,273.2666666666667,280.00975640244314,324.1770833333333,168.75599772006046,424.81,6.35,82.89
2,273.9302083333334,282.16652372010736,327.715625,174.36068598844,510.4,6.4,82.92
2,273.05833333333334,282.38002307273007,325.08958333333334,171.06298089639301,395.38,6.39,82.93
2,272.909375,280.55669698763097,328.1791666666666,173.4850551420464,490.69,6.37,83.0
2,283.05625000000003,283.6477785081423,335.51666666666665,171.46846871623043,476.42,7.37,82.89
2,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,446.5,6.39,82.97
2,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,390.2,6.44,82.94
2,262.66770833333334,270.722787757911,310.025,159.83073859555302,369.45,6.44,82.94
2,263.81874999999997,271.12750010853597,311.83958333333334,162.92226832601202,381.74,6.44,83.05
2,261.87395833333335,270.0966783875697,317.28229166666665,167.74264948798282,389.31,6.41,82.98
2,265.1541666666667,271.69111671032886,314.55312499999997,163.7424807135716,405.41,6.31,82.92
2,265.79583333333335,273.7816393118895,317.97708333333327,169.1823187417243,452.0,6.4,82.88
2,264.95,273.9898732161464,315.43541666666664,165.98518318610968,328.23,6.48,82.93
2,264.80625000000003,272.2219012177458,318.43333333333334,168.32927841650786,465.73,6.36,82.98
2,274.6489583333334,275.21932163079487,325.55312499999997,166.37352050001138,394.68,6.5,82.98
2,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,390.2,6.36,83.08
2,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,417.84,6.6,82.91
2,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,377.29,6.42,82.93
2,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,389.89,6.32,82.86
2,267.21666666666664,275.6136523237233,323.75937500000003,171.16505592685297,401.8,6.33,82.91
2,270.56354166666665,277.2356380108624,320.97083333333336,167.08612793797565,420.68,6.36,82.89
2,271.2208333333333,279.37235491539286,324.46770833333335,172.63160468585968,488.17,6.4,82.93
2,270.35520833333334,279.5829721320785,321.87083333333334,169.36745919047993,337.81,6.46,82.94
2,270.20625,277.7747753023496,324.92812499999997,171.76406219914293,475.2,6.34,82.86
2,280.253125,280.8408609104114,332.19687500000003,169.76897381265235,449.6,6.52,82.93
2,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,417.84,6.36,82.92
2,273.975,282.96677734909684,321.0885416666667,172.01928965828202,452.04,6.55,83.0
2,271.2395833333333,279.56286989660555,320.140625,165.05451598015338,385.95,6.37,82.97
2,272.4270833333333,279.98164913048566,322.0229166666667,168.24446095337896,400.83,6.44,82.93
2,270.42083333333335,278.9222434645641,327.63645833333334,173.22208235852398,411.63,6.37,82.87
2,273.809375,280.5631958958196,324.81875,169.09394597413643,425.96,6.42,83.05
2,274.4739583333333,282.72714991842975,328.3625,174.70186762620293,515.09,6.32,82.97
2,273.6010416666667,282.9397022389781,325.73229166666664,171.40241848181412,400.32,6.35,82.92
2,273.45000000000005,281.1094582186804,328.82604166666664,173.82760212156066,494.56,6.24,82.79
2,283.61354166666666,284.2073119587002,336.1822916666667,171.80865264565384,482.18,6.46,82.96
2,273.975,282.96677734909684,321.0885416666667,172.01928965828202,452.04,6.36,82.99
2,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,390.2,6.3,82.96
2,262.66770833333334,270.722787757911,310.025,159.83073859555302,369.45,6.25,82.9
2,263.81874999999997,271.12750010853597,311.83958333333334,162.92226832601202,381.74,6.38,82.97
2,261.87395833333335,270.0966783875697,317.28229166666665,167.74264948798282,389.31,6.26,82.98
2,265.1541666666667,271.69111671032886,314.55312499999997,163.7424807135716,405.41,6.34,82.87
2,265.79583333333335,273.7816393118895,317.97708333333327,169.1823187417243,452.0,6.33,82.9
2,264.95,273.9898732161464,315.43541666666664,165.98518318610968,328.23,6.44,82.94
2,264.80625000000003,272.2219012177458,318.43333333333334,168.32927841650786,465.73,6.43,82.93
2,274.6489583333334,275.21932163079487,325.55312499999997,166.37352050001138,394.68,6.4,82.97
2,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,390.2,6.36,82.9
2,276.68541666666664,285.76609570414934,324.2604166666667,173.71749904608455,481.71,6.27,82.89
2,273.92604166666666,282.3261567779335,323.303125,166.68160732186692,398.25,6.17,82.88
2,275.1166666666666,282.7454644002073,325.20625,169.90460485991593,418.53,6.39,82.92
2,273.096875,281.67775672933016,330.87916666666666,174.9279499993418,426.0,6.31,82.85
2,276.5208333333333,283.3376221182759,328.02812500000005,170.76124578823803,441.5,6.3,82.95
2,277.18854166666665,285.51789818014316,331.5989583333333,176.42320773662857,537.81,6.39,82.95
2,276.30312499999997,285.7348014524442,328.9458333333334,173.09152619632258,428.3,6.28,82.98
2,276.153125,283.889522215188,332.0708333333334,175.54242181774435,515.74,6.33,82.94
2,286.41562500000003,287.01951128804126,339.50416666666666,173.50535949735257,492.67,6.45,82.99
2,276.68541666666664,285.76609570414934,324.2604166666667,173.71749904608455,481.71,6.37,82.84
2,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,417.84,6.84,82.9
2,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,377.29,6.5,82.91
2,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,389.89,6.17,83.0
2,267.21666666666664,275.6136523237233,323.75937500000003,171.16505592685297,401.8,6.04,82.82
2,270.56354166666665,277.2356380108624,320.97083333333336,167.08612793797565,420.68,6.31,83.04
2,271.2208333333333,279.37235491539286,324.46770833333335,172.63160468585968,488.17,6.39,82.96
2,270.35520833333334,279.5829721320785,321.87083333333334,169.36745919047993,337.81,6.37,82.93
2,270.20625,277.7747753023496,324.92812499999997,171.76406219914293,475.2,6.35,82.92
2,280.253125,280.8408609104114,332.19687500000003,169.76897381265235,449.6,6.46,82.97
2,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,417.84,6.6,82.9
3,268.02187499999997,276.81694997293374,314.1177083333333,168.27839903638332,382.72,7.33,83.05
3,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,361.55,7.19,82.96
3,266.50624999999997,273.8953361583049,315.028125,164.58755882959193,403.35,7.27,83.11
3,264.5416666666667,272.8576096407958,320.5239583333333,169.45243601622138,373.53,7.08,83.16
3,267.8604166666667,274.4615218474648,317.7645833333333,165.4162634204783,440.59,7.0,83.07
3,268.51145833333334,276.57818811240327,321.21979166666665,170.9025286407136,398.66,6.99,83.01
3,267.65208333333334,276.78592321020665,318.65208333333334,167.67194282981987,371.24,7.05,83.07
3,267.503125,274.99285576065614,321.6770833333333,170.0430744933757,419.44,7.25,83.03
3,277.45,278.03394576921715,328.87708333333336,168.0694836959595,306.98,7.07,83.04
3,268.02187499999997,276.81694997293374,314.1177083333333,168.27839903638332,382.72,7.12,83.07
3,276.13958333333335,285.20777969723474,323.63125,173.37781439226154,432.6,7.05,83.07
3,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,349.77,6.96,83.06
3,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,397.48,6.97,83.04
3,272.559375,281.13062858531805,330.23645833333336,174.5874668085406,396.35,7.01,83.1
3,275.97291666666666,282.7801614030937,327.38854166666664,170.42978018196604,435.48,7.04,83.04
3,276.6458333333333,284.9630725040917,330.9583333333333,176.08089503754297,430.02,7.03,83.02
3,275.7604166666667,285.176073344451,328.30625,172.74973999769387,419.33,7.06,83.14
3,275.60625,283.3276514672324,331.42291666666665,175.19885099935175,427.26,6.94,83.01
3,285.85729166666664,286.46240218133033,338.840625,173.1644320786153,379.38,7.04,83.0
3,276.13958333333335,285.20777969723474,323.63125,173.37781439226154,432.6,7.0,83.05
3,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,379.56,7.18,83.1
3,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,397.54,7.01,83.06
3,265.96875,273.34187968568625,314.38958333333335,164.2528636731378,403.81,7.07,83.06
3,264.0125,272.30506378034295,319.8822916666667,169.10803314424462,371.95,7.05,83.06
3,267.3177083333333,273.90808258839,317.12291666666664,165.07831441922664,439.62,7.03,83.08
3,267.9677083333333,276.01756265634305,320.5729166666667,170.5613461724541,427.4,7.07,83.1
3,267.109375,276.2262444831701,318.009375,167.33250398914146,379.73,6.95,83.09
3,266.9625,274.4400948787974,321.03020833333335,169.70052673741645,416.61,6.9,83.11
3,276.8927083333333,277.4744122004735,328.2114583333334,167.72929943674103,304.29,7.09,83.04
3,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,379.56,6.94,83.08
3,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,416.91,6.97,82.98
3,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,331.15,6.93,83.01
3,271.88958333333335,279.4281923556743,321.38437500000003,167.9097663975884,383.77,7.04,83.06
3,269.89166666666665,278.36969672641374,326.9947916666667,172.8776809684811,374.84,7.1,83.0
3,273.2666666666667,280.00975640244314,324.1770833333333,168.75599772006046,408.17,6.97,83.05
3,273.9302083333334,282.16652372010736,327.715625,174.36068598844,400.67,7.05,83.03
3,273.05833333333334,282.38002307273007,325.08958333333334,171.06298089639301,390.29,7.03,83.09
3,272.909375,280.55669698763097,328.1791666666666,173.4850551420464,396.37,6.98,83.06
3,283.05625000000003,283.6477785081423,335.51666666666665,171.46846871623043,346.53,7.31,83.02
3,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,416.91,6.98,83.19
3,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,374.38,6.98,83.09
3,262.66770833333334,270.722787757911,310.025,159.83073859555302,389.54,6.99,83.09
3,263.81874999999997,271.12750010853597,311.83958333333334,162.92226832601202,397.97,7.05,83.06
3,261.87395833333335,270.0966783875697,317.28229166666665,167.74264948798282,366.2,7.04,83.09
3,265.1541666666667,271.69111671032886,314.55312499999997,163.7424807135716,433.32,7.02,83.01
3,265.79583333333335,273.7816393118895,317.97708333333327,169.1823187417243,419.98,7.39,83.09
3,264.95,273.9898732161464,315.43541666666664,165.98518318610968,351.65,7.61,83.0
3,264.80625000000003,272.2219012177458,318.43333333333334,168.32927841650786,411.68,7.64,83.03
3,274.6489583333334,275.21932163079487,325.55312499999997,166.37352050001138,338.81,7.63,83.07
3,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,374.38,8.52,83.09
3,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,400.32,7.25,83.05
3,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,322.4,7.95,83.12
3,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,381.5,7.66,83.05
3,267.21666666666664,275.6136523237233,323.75937500000003,171.16505592685297,359.03,7.33,83.03
3,270.56354166666665,277.2356380108624,320.97083333333336,167.08612793797565,387.75,7.76,83.11
3,271.2208333333333,279.37235491539286,324.46770833333335,172.63160468585968,378.69,7.06,83.0
3,270.35520833333334,279.5829721320785,321.87083333333334,169.36745919047993,362.97,7.05,83.1
3,270.20625,277.7747753023496,324.92812499999997,171.76406219914293,382.12,7.06,83.02
3,280.253125,280.8408609104114,332.19687500000003,169.76897381265235,336.13,7.3,83.09
3,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,400.32,8.05,83.08
3,273.975,282.96677734909684,321.0885416666667,172.01928965828202,414.02,7.11,82.97
3,271.2395833333333,279.56286989660555,320.140625,165.05451598015338,333.65,7.02,83.09
3,272.4270833333333,279.98164913048566,322.0229166666667,168.24446095337896,385.71,7.15,83.04
3,270.42083333333335,278.9222434645641,327.63645833333334,173.22208235852398,380.48,6.98,82.98
3,273.809375,280.5631958958196,324.81875,169.09394597413643,413.64,7.0,83.04
3,274.4739583333333,282.72714991842975,328.3625,174.70186762620293,405.32,7.03,82.99
3,273.6010416666667,282.9397022389781,325.73229166666664,171.40241848181412,395.81,7.02,83.09
3,273.45000000000005,281.1094582186804,328.82604166666664,173.82760212156066,400.18,7.0,83.06
3,283.61354166666666,284.2073119587002,336.1822916666667,171.80865264565384,350.47,7.12,83.1
3,273.975,282.96677734909684,321.0885416666667,172.01928965828202,414.02,7.07,83.13
3,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,374.38,7.04,83.14
3,262.66770833333334,270.722787757911,310.025,159.83073859555302,389.54,6.97,83.14
3,263.81874999999997,271.12750010853597,311.83958333333334,162.92226832601202,397.97,7.05,83.09
3,261.87395833333335,270.0966783875697,317.28229166666665,167.74264948798282,366.2,6.99,83.04
3,265.1541666666667,271.69111671032886,314.55312499999997,163.7424807135716,433.32,6.93,83.06
3,265.79583333333335,273.7816393118895,317.97708333333327,169.1823187417243,419.98,6.99,83.07
3,264.95,273.9898732161464,315.43541666666664,165.98518318610968,351.65,6.94,83.0
3,264.80625000000003,272.2219012177458,318.43333333333334,168.32927841650786,411.68,7.01,83.1
3,274.6489583333334,275.21932163079487,325.55312499999997,166.37352050001138,338.81,7.17,83.17
3,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,374.38,7.01,83.13
3,276.68541666666664,285.76609570414934,324.2604166666667,173.71749904608455,436.73,7.05,83.05
3,273.92604166666666,282.3261567779335,323.303125,166.68160732186692,352.79,6.91,82.94
3,275.1166666666666,282.7454644002073,325.20625,169.90460485991593,400.34,7.05,83.13
3,273.096875,281.67775672933016,330.87916666666666,174.9279499993418,400.33,7.94,83.14
3,276.5208333333333,283.3376221182759,328.02812500000005,170.76124578823803,441.4,6.85,83.09
3,277.18854166666665,285.51789818014316,331.5989583333333,176.42320773662857,435.71,7.25,83.04
3,276.30312499999997,285.7348014524442,328.9458333333334,173.09152619632258,425.53,6.95,83.0
3,276.153125,283.889522215188,332.0708333333334,175.54242181774435,433.14,6.94,83.1
3,286.41562500000003,287.01951128804126,339.50416666666666,173.50535949735257,390.89,6.97,83.13
3,276.68541666666664,285.76609570414934,324.2604166666667,173.71749904608455,436.73,6.99,83.03
3,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,400.32,7.45,83.06
3,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,322.4,6.97,83.01
3,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,381.5,6.91,83.13
3,267.21666666666664,275.6136523237233,323.75937500000003,171.16505592685297,359.03,6.88,83.03
3,270.56354166666665,277.2356380108624,320.97083333333336,167.08612793797565,387.75,6.95,83.04
3,271.2208333333333,279.37235491539286,324.46770833333335,172.63160468585968,378.69,6.91,83.05
3,270.35520833333334,279.5829721320785,321.87083333333334,169.36745919047993,362.97,6.93,83.08
3,270.20625,277.7747753023496,324.92812499999997,171.76406219914293,382.12,6.94,83.08
3,280.253125,280.8408609104114,332.19687500000003,169.76897381265235,336.13,7.02,83.03
3,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,400.32,7.04,83.04
4,268.02187499999997,276.81694997293374,314.1177083333333,168.27839903638332,352.98,7.72,83.11
4,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,367.59,7.58,83.16
4,266.50624999999997,273.8953361583049,315.028125,164.58755882959193,366.99,7.5,83.09
4,264.5416666666667,272.8576096407958,320.5239583333333,169.45243601622138,381.0,7.41,83.23
4,267.8604166666667,274.4615218474648,317.7645833333333,165.4162634204783,412.19,7.5,83.2
4,268.51145833333334,276.57818811240327,321.21979166666665,170.9025286407136,400.59,7.58,83.15
4,267.65208333333334,276.78592321020665,318.65208333333334,167.67194282981987,350.81,7.58,83.2
4,267.503125,274.99285576065614,321.6770833333333,170.0430744933757,417.13,7.51,83.12
4,277.45,278.03394576921715,328.87708333333336,168.0694836959595,328.02,7.57,83.24
4,268.02187499999997,276.81694997293374,314.1177083333333,168.27839903638332,352.98,7.59,83.17
4,276.13958333333335,285.20777969723474,323.63125,173.37781439226154,419.3,7.41,83.11
